,setName,object,user,date,figure,nLines,data0,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,Ang_0,Ang_1,Ang_2,Ang_3,Ang_4,Ang_5,Ang_6,Ang_7,Ang_8,Ang_9,Ang_10,Ang_11,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,,,,,,,,,,,,,Average,Std Deviation,Warning List
10,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_029.png,12,486,21,581,535,415,20,526,543,372,11,463,519,593,16,679,510,651,16,711,496,711,19,791,474,820,29,891,468,881,12,935,447,307,28,394,484,246,39,320,450,181,71,247,408,82,516,10,181,-10.47,-11.98,-10.16,-9.88,-7.13,-9.97,-9.19,-7.08,-10.8,-10.21,-11.08,-12.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.01,1.53,
11,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_030.png,9,98,26,180,459,155,29,225,410,215,38,289,392,298,41,343,343,471,10,572,541,588,25,640,442,642,43,705,394,730,23,822,429,839,40,914,527,,,,,,,,,,,,,-10.72,-10.41,-11.81,-8.48,-10.77,-7.11,-10.18,-12.77,-8.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.11,1.65,
12,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_032.png,8,416,19,487,532,350,31,408,507,229,40,309,521,158,81,235,499,70,242,121,520,780,526,747,38,916,513,869,38,971,487,925,75,,,,,,,,,,,,,,,,,-7.88,-6.95,-9.44,-10.44,-10.4,-3.87,-5.65,-6.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.62,2.21,
13,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_037.png,9,368,23,376,531,271,38,278,467,303,30,300,402,820,40,831,455,857,38,875,452,540,54,550,468,37,53,42,483,93,521,97,58,901,10,924,513,,,,,,,,,,,,,-0.9,-0.93,0.46,-1.52,-2.49,-1.38,-0.67,0.49,-2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.06,1.04,
14,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_038.png,9,370,15,376,507,201,21,196,336,265,13,268,437,317,22,317,440,599,20,611,428,855,27,882,415,893,35,917,393,927,32,958,339,546,395,542,62,,,,,,,,,,,,,-0.7,0.91,-0.41,0,-1.68,-3.98,-3.84,-5.77,-0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.79,2.1,
15,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_041.png,7,381,10,376,551,299,10,294,541,257,11,254,515,218,14,196,524,163,14,151,503,461,23,459,497,532,23,532,482,,,,,,,,,,,,,,,,,,,,,0.53,0.54,0.34,2.47,1.41,0.24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,0.8,
16,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_053.png,9,182,12,241,511,252,19,312,496,327,11,375,475,466,14,536,511,550,33,624,510,606,15,689,507,688,13,794,507,796,33,833,386,947,54,964,290,,,,,,,,,,,,,-6.74,-7.17,-5.91,-8.02,-8.82,-9.58,-12.11,-5.98,-4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.6,2.22,
17,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_054.png,8,208,11,274,546,122,15,182,525,76,10,141,515,451,5,536,533,522,25,595,501,352,24,416,480,293,30,352,490,685,41,736,438,,,,,,,,,,,,,,,,,-7.03,-6.71,-7.33,-9.15,-8.72,-7.99,-7.31,-7.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.69,0.8,
18,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_060.png,7,155,30,211,523,88,56,138,521,26,104,69,486,294,41,345,499,371,53,416,497,626,44,674,464,806,465,779,87,,,,,,,,,,,,,,,,,,,,,-6.48,-6.14,-6.42,-6.35,-5.79,-6.52,-4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.97,0.8,
19,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_061.png,6,98,63,133,452,166,74,210,437,240,80,274,428,574,94,597,456,703,73,747,468,877,47,927,453,,,,,,,,,,,,,,,,,,,,,,,,,-5.14,-6.91,-5.58,-3.64,-6.36,-7.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.77,1.17,
20,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_062.png,9,682,45,748,460,741,43,806,381,806,38,879,453,861,45,928,427,619,22,677,445,575,43,614,470,325,63,362,452,136,23,169,455,452,40,492,430,,,,,,,,,,,,,-9.04,-10.89,-9.98,-9.95,-7.81,-5.22,-5.43,-4.37,-5.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.61,2.31,
21,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_063.png,7,205,15,131,450,276,496,341,33,480,20,411,459,604,33,537,436,724,46,664,445,788,37,735,459,865,67,805,466,,,,,,,,,,,,,,,,,,,,,9.65,7.99,8.93,9.44,8.55,7.16,8.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.61,0.79,
22,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_064.png,7,457,39,392,503,258,505,329,40,660,39,590,492,656,489,718,54,841,53,788,454,857,509,941,65,117,506,193,17,,,,,,,,,,,,,,,,,,,,,7.97,8.68,8.78,8.11,7.53,10.71,8.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.66,0.95,
23,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_065.png,8,399,507,470,18,673,33,593,494,671,510,749,24,737,501,815,24,803,520,878,31,933,38,864,486,332,22,269,506,120,496,202,15,,,,,,,,,,,,,,,,,8.26,9.84,9.12,9.29,8.72,8.76,7.42,9.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.88,0.74,
24,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_066.png,8,233,527,139,17,277,530,198,15,274,24,346,470,349,28,418,474,424,9,477,443,627,21,706,505,692,38,764,479,835,43,896,454,,,,,,,,,,,,,,,,,-10.44,-8.72,-9.17,-8.79,-6.96,-9.27,-9.27,-8.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.88,0.92,
25,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_067.png,3,17,335,953,497,32,213,947,357,927,228,41,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80.18,-81.06,-82.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-81.15,0.84,
26,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_068.png,4,33,365,960,257,25,214,694,140,28,1242,825,1171,375,1376,1147,1292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.35,83.69,84.91,83.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.94,0.58,
27,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_069.png,6,22,183,933,316,50,77,904,189,33,441,780,538,306,751,1198,861,308,1024,1229,1126,312,874,1232,1003,,,,,,,,,,,,,,,,,,,,,,,,,-81.69,-82.53,-82.6,-82.97,-83.68,-82.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82.58,0.64,
28,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_070.png,7,7,906,942,1047,7,1998,860,2131,26,1877,806,1987,15,1613,953,1746,15,1478,934,1601,15,1366,877,1493,16,1240,994,1380,,,,,,,,,,,,,,,,,,,,,-81.42,-81.14,-81.97,-81.93,-82.38,-81.62,-81.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-81.76,0.37,
29,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_071.png,2,692,24,724,461,907,42,924,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.19,-2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.42,0.76,
30,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_072.png,4,1053,34,1089,480,920,63,960,479,1160,28,1205,480,689,57,729,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.61,-5.49,-5.69,-5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.32,0.42,
31,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_073.png,5,994,461,977,48,678,39,704,445,801,30,847,481,1117,34,1147,466,1204,33,1243,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.36,-3.66,-5.82,-3.97,-5.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.32,1.33,
32,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_074.png,4,604,20,677,489,805,30,903,520,980,16,1096,511,1117,40,1245,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.85,-11.31,-13.19,-16.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.39,2.69,yes
33,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_075.png,4,30,462,939,419,26,826,927,754,927,754,926,752,32,311,933,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.29,85.43,,85.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.03,0.89,
34,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_081.png,10,253,6,68,495,309,10,126,494,372,7,187,504,447,17,283,478,504,12,327,482,586,28,433,476,645,26,488,488,885,51,759,451,946,92,824,477,775,49,608,499,,,,,,,,,20.72,20.71,20.42,19.58,20.64,18.86,18.77,17.48,17.58,20.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.51,1.21,
35,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_082.png,6,708,12,241,504,556,6,48,507,363,20,17,354,911,20,403,524,949,77,510,533,951,255,683,527,,,,,,,,,,,,,,,,,,,,,,,,,43.51,45.4,46.01,45.23,43.91,44.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.77,0.87,
36,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_083.png,5,225,19,294,535,366,25,444,508,522,17,586,527,665,24,741,522,821,34,896,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.62,-9.17,-7.15,-8.68,-9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.38,0.85,
37,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_084.png,7,311,11,118,509,375,21,186,505,447,7,240,512,533,16,354,516,657,23,471,531,782,39,600,520,914,65,744,528,,,,,,,,,,,,,,,,,,,,,21.18,21.33,22.29,19.7,20.11,20.73,20.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.79,0.82,
38,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_085.png,5,576,512,796,297,671,223,376,525,413,173,87,522,176,110,11,298,945,369,790,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.66,44.33,43.05,41.27,43.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.54,1.45,
39,grupotodas,CropLinesAngle,Carmona,2022.03.03.06.30.24,conf_086.png,7,484,29,302,524,575,24,395,533,699,40,527,528,894,63,736,513,947,291,861,531,164,16,17,394,282,30,110,506,,,,,,,,,,,,,,,,,,,,,20.19,19.48,19.42,19.35,19.71,21.25,19.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.89,0.62,
