,setName,object,user,date,figure,nLines,data0,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,Ang_0,Ang_1,Ang_2,Ang_3,Ang_4,Ang_5,Ang_6,Ang_7,Ang_8,Ang_9,Ang_10,Ang_11,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,,,,,,,,,,,,,Average,Std Deviation,Warning List
10,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_029.png,12,499,79,589,597,330,131,416,586,436,111,525,569,476,585,388,125,266,157,336,512,213,169,280,579,226,604,160,214,958,563,927,347,913,607,885,430,838,592,818,411,604,81,646,374,784,598,770,439,-9.86,-10.7,-11,-10.83,-11.15,-9.28,-9.61,-8.17,,,-8.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.86,1.09,
11,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_030.png,12,487,80,580,587,308,95,400,570,184,131,249,448,185,438,151,269,372,94,418,379,520,610,425,119,949,611,923,424,900,597,874,430,591,100,626,343,778,591,767,491,1071,231,1047,145,979,71,1011,186,-10.39,-10.96,-11.59,,-9.17,-10.95,,,-8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.21,1.17,
12,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_032.png,9,432,87,495,577,319,556,275,274,251,549,200,267,183,559,131,277,992,602,956,454,531,78,588,550,374,161,419,495,853,394,873,565,380,562,324,181,,,,,,,,,,,,,-7.33,-8.87,-10.25,-10.45,,-6.89,-7.67,,-8.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.54,1.29,
13,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_037.png,10,368,97,376,606,283,126,282,546,316,106,324,496,1011,126,1016,304,870,189,894,576,834,320,853,598,596,70,607,289,1044,74,1054,273,912,249,920,393,555,74,559,260,,,,,,,,,-0.9,0.14,-1.18,,-3.55,-3.91,-2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.05,1.49,
14,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_038.png,12,376,103,369,567,195,89,194,354,240,101,233,290,283,84,288,348,320,118,322,429,560,171,560,435,605,138,610,454,911,127,928,392,872,125,893,470,1042,586,1025,346,931,450,942,588,945,124,963,380,0.86,0.22,,-1.09,-0.37,0,-0.91,-3.67,-3.48,-4.05,,-4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.65,1.84,
15,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_041.png,9,379,80,373,607,199,157,186,351,146,75,138,381,280,82,273,525,318,167,310,491,520,197,525,432,977,124,982,201,1035,86,1057,373,635,176,657,507,,,,,,,,,,,,,0.65,,1.5,0.91,1.41,-1.22,,-4.38,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.71,2.3,
16,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_053.png,7,780,94,806,327,348,111,410,554,477,315,514,610,1027,105,1051,288,975,152,999,367,283,455,253,147,624,226,658,484,,,,,,,,,,,,,,,,,,,,,-6.37,-7.97,-7.15,,-6.37,-5.56,-7.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.82,0.8,
17,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_054.png,7,723,85,750,375,691,245,708,363,1016,85,1040,357,948,177,979,415,396,600,355,237,582,549,546,268,260,472,280,596,,,,,,,,,,,,,,,,,,,,,-5.32,,-5.04,-7.42,-6.44,-7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.31,0.98,
18,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_060.png,7,405,120,462,585,334,264,377,558,200,114,261,569,135,177,174,571,678,94,706,517,978,599,943,85,805,95,840,571,,,,,,,,,,,,,,,,,,,,,-6.99,-8.32,-7.64,-5.65,-3.79,-3.9,-4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.78,1.75,
19,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_061.png,4,326,138,380,586,664,77,710,584,177,595,126,176,942,170,976,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.87,-5.18,-6.94,-4.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.92,1.01,
20,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_062.png,8,731,142,792,559,420,109,471,568,600,106,661,592,783,107,830,437,997,269,1064,605,1032,105,1088,374,723,592,655,101,353,101,384,502,,,,,,,,,,,,,,,,,-8.32,-6.34,-7.15,-8.11,-11.28,-11.76,-7.88,-4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.16,2.27,
21,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_063.png,8,503,87,465,366,937,277,896,564,954,603,1002,273,726,195,677,578,591,392,566,596,236,88,152,590,390,340,432,98,292,102,261,291,,,,,,,,,,,,,,,,,7.76,8.13,8.28,7.29,6.99,9.5,9.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.25,0.99,
22,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_064.png,8,407,133,337,593,883,158,844,376,676,97,613,602,617,96,594,243,816,99,776,330,929,258,886,516,269,114,203,563,204,97,156,470,,,,,,,,,,,,,,,,,8.65,10.14,7.11,,9.82,9.46,8.36,7.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,1.1,
23,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_065.png,7,319,94,250,587,751,188,711,499,693,121,627,561,558,601,625,142,423,559,470,254,310,599,368,209,844,570,891,210,,,,,,,,,,,,,,,,,,,,,7.97,7.33,8.53,8.3,8.76,8.46,7.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.11,0.51,
24,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_066.png,7,395,85,468,574,189,87,262,560,327,107,385,561,668,99,701,325,614,132,677,602,480,159,503,389,949,129,978,296,,,,,,,,,,,,,,,,,,,,,-8.49,-8.77,-7.28,-8.31,-7.63,-5.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.7,1.02,
25,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_067.png,10,218,189,993,310,214,318,942,425,337,460,922,538,203,548,899,662,128,794,952,912,280,928,957,1025,137,1155,715,1236,292,1407,1095,1547,309,1536,1104,1674,303,1651,1037,1785,,,,,,,,,-81.13,-81.64,-82.41,-80.7,-81.85,-81.85,-82.02,-80.11,-80.15,-79.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-81.15,0.9,
26,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_068.png,10,317,267,1158,170,326,415,1111,313,321,536,1184,435,324,801,1209,687,446,1141,1160,1070,1117,818,454,909,441,1421,1139,1328,297,1783,1225,1673,347,2047,1116,1954,391,2159,1160,2065,,,,,,,,,83.42,82.6,83.32,82.66,84.32,82.18,82.41,83.24,83.1,83.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.03,0.58,
27,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_069.png,10,290,1933,1189,2047,311,1819,1178,1931,307,2059,1165,2149,330,1575,1232,1686,300,1202,1222,1322,347,1082,1207,1179,314,287,1207,414,620,462,1151,537,350,1945,1126,2044,305,571,1108,656,,,,,,,,,-82.77,-82.64,-84.01,-82.98,-82.58,-83.56,-81.91,-81.96,-82.73,-83.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82.91,0.7,
28,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_070.png,6,343,744,1044,866,363,899,1015,981,362,1035,1079,1103,341,1340,1172,1461,303,1573,1150,1686,317,1776,599,1830,,,,,,,,,,,,,,,,,,,,,,,,,-80.13,-82.83,-84.58,-81.72,-82.4,-79.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-81.8,1.78,
29,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_071.png,4,225,222,245,653,552,646,541,221,832,189,874,593,1063,690,1044,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.66,-1.48,-5.94,-2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.06,1.71,
30,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_072.png,6,1030,188,1048,639,782,31,801,457,905,507,908,73,590,538,568,48,473,19,484,486,377,529,364,27,,,,,,,,,,,,,,,,,,,,,,,,,-2.29,-2.55,0.4,-2.57,-1.35,-1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.64,1.03,
31,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_073.png,6,752,512,743,20,542,511,530,28,415,16,433,434,987,508,967,41,95,179,105,592,308,649,302,311,,,,,,,,,,,,,,,,,,,,,,,,,-1.05,-1.42,-2.47,-2.45,-1.39,-1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.63,0.6,
32,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_074.png,4,915,592,840,91,1156,601,1067,108,1059,602,963,85,584,612,489,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.51,-10.23,-10.52,-10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.89,0.8,
33,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_075.png,5,54,393,807,339,26,816,945,730,70,551,931,528,30,1161,912,1156,88,1178,929,1157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.9,84.65,88.47,89.68,88.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.45,1.87,
34,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_081.png,11,17,702,187,255,124,241,25,521,262,218,89,684,148,709,320,229,360,675,518,248,583,237,417,702,649,246,505,634,719,234,560,636,640,631,768,238,691,656,825,258,454,242,293,681,,,,,20.82,19.47,20.37,19.71,20.31,19.65,20.36,21.58,18.04,18.61,20.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.91,0.94,
35,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_082.png,9,522,745,973,297,153,746,690,207,779,216,247,742,19,694,489,209,10,592,400,203,25,476,287,223,863,218,326,737,608,741,971,379,709,743,968,494,,,,,,,,,,,,,45.19,44.89,45.32,44.1,45.07,46,45.98,45.08,46.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.31,0.61,
36,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_083.png,8,269,713,204,236,661,228,736,732,591,245,667,738,738,217,788,669,825,234,873,693,886,214,950,710,500,739,427,208,432,726,352,219,,,,,,,,,,,,,,,,,-7.76,-8.46,-8.76,-6.31,-5.97,-7.35,-7.83,-8.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.68,1.02,
37,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_084.png,12,52,587,204,214,264,228,126,571,171,619,321,229,383,258,228,635,289,666,453,246,411,689,585,235,467,712,629,279,529,713,701,276,787,233,594,726,667,730,844,246,739,722,916,237,968,277,832,640,22.17,21.92,21.04,22.35,21.33,20.97,20.51,21.48,21.38,20.09,20.05,20.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.15,0.73,
38,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_085.png,7,452,628,767,294,189,683,620,235,79,685,528,227,449,214,40,626,346,214,28,547,667,749,977,426,765,749,975,526,,,,,,,,,,,,,,,,,,,,,43.32,43.89,44.43,44.79,43.68,43.82,43.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.89,0.51,
39,grupotodas,CropLinesAngle,Jones,2022.02.24.20.57.42,conf_086.png,9,257,212,89,623,118,741,303,234,656,743,830,255,708,220,527,727,458,739,625,259,406,712,575,236,189,718,373,222,180,242,33,619,964,251,798,726,,,,,,,,,,,,,22.23,20.05,19.62,19.65,19.18,19.55,20.35,21.3,19.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.13,0.96,
